frame,shoulder_width,kps_0_x,kps_0_y,kps_0_vx,kps_0_vy,kps_1_x,kps_1_y,kps_1_vx,kps_1_vy,kps_2_x,kps_2_y,kps_2_vx,kps_2_vy,kps_3_x,kps_3_y,kps_3_vx,kps_3_vy,kps_4_x,kps_4_y,kps_4_vx,kps_4_vy,kps_5_x,kps_5_y,kps_5_vx,kps_5_vy,kps_6_x,kps_6_y,kps_6_vx,kps_6_vy,kps_7_x,kps_7_y,kps_7_vx,kps_7_vy,kps_8_x,kps_8_y,kps_8_vx,kps_8_vy,kps_9_x,kps_9_y,kps_9_vx,kps_9_vy,kps_10_x,kps_10_y,kps_10_vx,kps_10_vy,kps_11_x,kps_11_y,kps_11_vx,kps_11_vy,kps_12_x,kps_12_y,kps_12_vx,kps_12_vy,kps_13_x,kps_13_y,kps_13_vx,kps_13_vy,kps_14_x,kps_14_y,kps_14_vx,kps_14_vy,kps_15_x,kps_15_y,kps_15_vx,kps_15_vy,kps_16_x,kps_16_y,kps_16_vx,kps_16_vy,L_hand_0_x,L_hand_0_y,L_hand_0_vx,L_hand_0_vy,L_hand_1_x,L_hand_1_y,L_hand_1_vx,L_hand_1_vy,L_hand_2_x,L_hand_2_y,L_hand_2_vx,L_hand_2_vy,L_hand_3_x,L_hand_3_y,L_hand_3_vx,L_hand_3_vy,L_hand_4_x,L_hand_4_y,L_hand_4_vx,L_hand_4_vy,L_hand_5_x,L_hand_5_y,L_hand_5_vx,L_hand_5_vy,L_hand_6_x,L_hand_6_y,L_hand_6_vx,L_hand_6_vy,L_hand_7_x,L_hand_7_y,L_hand_7_vx,L_hand_7_vy,L_hand_8_x,L_hand_8_y,L_hand_8_vx,L_hand_8_vy,L_hand_9_x,L_hand_9_y,L_hand_9_vx,L_hand_9_vy,L_hand_10_x,L_hand_10_y,L_hand_10_vx,L_hand_10_vy,L_hand_11_x,L_hand_11_y,L_hand_11_vx,L_hand_11_vy,L_hand_12_x,L_hand_12_y,L_hand_12_vx,L_hand_12_vy,L_hand_13_x,L_hand_13_y,L_hand_13_vx,L_hand_13_vy,L_hand_14_x,L_hand_14_y,L_hand_14_vx,L_hand_14_vy,L_hand_15_x,L_hand_15_y,L_hand_15_vx,L_hand_15_vy,L_hand_16_x,L_hand_16_y,L_hand_16_vx,L_hand_16_vy,L_hand_17_x,L_hand_17_y,L_hand_17_vx,L_hand_17_vy,L_hand_18_x,L_hand_18_y,L_hand_18_vx,L_hand_18_vy,L_hand_19_x,L_hand_19_y,L_hand_19_vx,L_hand_19_vy,L_hand_20_x,L_hand_20_y,L_hand_20_vx,L_hand_20_vy,L_trigger_pull,R_hand_0_x,R_hand_0_y,R_hand_0_vx,R_hand_0_vy,R_hand_1_x,R_hand_1_y,R_hand_1_vx,R_hand_1_vy,R_hand_2_x,R_hand_2_y,R_hand_2_vx,R_hand_2_vy,R_hand_3_x,R_hand_3_y,R_hand_3_vx,R_hand_3_vy,R_hand_4_x,R_hand_4_y,R_hand_4_vx,R_hand_4_vy,R_hand_5_x,R_hand_5_y,R_hand_5_vx,R_hand_5_vy,R_hand_6_x,R_hand_6_y,R_hand_6_vx,R_hand_6_vy,R_hand_7_x,R_hand_7_y,R_hand_7_vx,R_hand_7_vy,R_hand_8_x,R_hand_8_y,R_hand_8_vx,R_hand_8_vy,R_hand_9_x,R_hand_9_y,R_hand_9_vx,R_hand_9_vy,R_hand_10_x,R_hand_10_y,R_hand_10_vx,R_hand_10_vy,R_hand_11_x,R_hand_11_y,R_hand_11_vx,R_hand_11_vy,R_hand_12_x,R_hand_12_y,R_hand_12_vx,R_hand_12_vy,R_hand_13_x,R_hand_13_y,R_hand_13_vx,R_hand_13_vy,R_hand_14_x,R_hand_14_y,R_hand_14_vx,R_hand_14_vy,R_hand_15_x,R_hand_15_y,R_hand_15_vx,R_hand_15_vy,R_hand_16_x,R_hand_16_y,R_hand_16_vx,R_hand_16_vy,R_hand_17_x,R_hand_17_y,R_hand_17_vx,R_hand_17_vy,R_hand_18_x,R_hand_18_y,R_hand_18_vx,R_hand_18_vy,R_hand_19_x,R_hand_19_y,R_hand_19_vx,R_hand_19_vy,R_hand_20_x,R_hand_20_y,R_hand_20_vx,R_hand_20_vy,R_trigger_pull,gaze_dir_x,gaze_dir_y,gaze_on_body
0,186.42381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9849599735437118,0.17277687927568178,1
1,184.39113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9897313137449831,0.14293327964613387,1
2,194.26648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9794222074301349,0.20181707557196701,1
3,200.4694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9677912211370608,0.25175016500806563,1
4,212.86165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9652800190222983,0.261213454436968,1
5,227.79808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.962436536919327,0.27150300227525703,1
6,232.24994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9590728323972256,0.2831558701929376,1
7,244.21104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9560111909598686,0.2933266376559011,1
8,251.74474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9680748061779328,0.25065726812542893,1
9,258.74777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9696334685522758,0.24455851616204813,1
10,257.72925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9669282232291375,0.2550445198775891,1
11,254.87996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9711910516388272,0.23829770125796151,1
12,247.49335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9694145931335841,0.24542442009883858,1
13,246.84148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9670676095451377,0.2545151730581578,1
14,241.29697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9643439922891203,0.26464754369764515,1
15,239.25734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9602500193903183,0.2791370058112828,1
16,230.78175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9587388080658301,0.2842839371088776,1
17,225.45026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9533681632691401,0.3018053658301377,1
18,223.69484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9483767765236714,0.3171414091132223,1
19,225.60641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9449182520412039,0.32730184748490976,1
20,225.4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9377984514745629,0.3471755361910405,1
