epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,968.337,1.68615,4.5256,1.39128,0.4,0.00078,0.20081,0.06028,1.53679,4.50111,1.28387,0.000463135,0.000154378,0.000463135,0.000154378,0.000463135,0.000154378,0.000463135,0.000154378
2,1882.32,1.55167,4.28204,1.30302,0.14264,0.12927,0.11243,0.06335,1.41545,4.35861,1.20937,0.00092054,0.000306847,0.00092054,0.000306847,0.00092054,0.000306847,0.00092054,0.000306847
3,2679.71,1.50058,3.74129,1.2655,0.95589,0.15815,0.30357,0.1823,1.38938,3.59151,1.2086,0.0013591,0.000453032,0.0013591,0.000453032,0.0013591,0.000453032,0.0013591,0.000453032
4,3469.37,1.4834,2.84048,1.25533,0.84257,0.28384,0.34369,0.20846,1.3922,2.33871,1.21863,0.00134318,0.000447726,0.00134318,0.000447726,0.00134318,0.000447726,0.00134318,0.000447726
5,4273.06,1.46575,2.1667,1.22068,0.94164,0.37557,0.41682,0.2588,1.37733,1.87995,1.19983,0.0013149,0.000438301,0.0013149,0.000438301,0.0013149,0.000438301,0.0013149,0.000438301
6,5058.2,1.41949,1.7892,1.19682,0.93837,0.40182,0.43319,0.26776,1.37687,1.73957,1.18751,0.00128663,0.000428876,0.00128663,0.000428876,0.00128663,0.000428876,0.00128663,0.000428876
7,5887.1,1.38708,1.59157,1.18935,0.95859,0.41565,0.44952,0.2881,1.34856,1.6152,1.1831,0.00125835,0.000419451,0.00125835,0.000419451,0.00125835,0.000419451,0.00125835,0.000419451
8,6683.86,1.35831,1.52672,1.17581,0.96058,0.42629,0.45464,0.29796,1.3243,1.55978,1.16807,0.00123008,0.000410026,0.00123008,0.000410026,0.00123008,0.000410026,0.00123008,0.000410026
9,7467.52,1.31551,1.4877,1.15779,0.96409,0.42846,0.45907,0.30617,1.29789,1.5203,1.15418,0.0012018,0.000400602,0.0012018,0.000400602,0.0012018,0.000400602,0.0012018,0.000400602
10,8250.26,1.28316,1.35633,1.13868,0.96366,0.43409,0.49139,0.32385,1.27855,1.44849,1.14208,0.00117353,0.000391177,0.00117353,0.000391177,0.00117353,0.000391177,0.00117353,0.000391177
11,9037.92,1.249,1.30557,1.11627,0.96612,0.43721,0.53059,0.34329,1.25886,1.38946,1.13233,0.00114526,0.000381752,0.00114526,0.000381752,0.00114526,0.000381752,0.00114526,0.000381752
12,9826.87,1.24914,1.25068,1.1149,0.89787,0.47272,0.5473,0.35205,1.24415,1.34649,1.12388,0.00111698,0.000372327,0.00111698,0.000372327,0.00111698,0.000372327,0.00111698,0.000372327
13,10619.5,1.24126,1.23775,1.1041,0.74732,0.51729,0.55549,0.35497,1.23931,1.3162,1.11427,0.00108871,0.000362902,0.00108871,0.000362902,0.00108871,0.000362902,0.00108871,0.000362902
14,11409.8,1.20762,1.18479,1.08889,0.63375,0.55065,0.55986,0.35936,1.2228,1.27638,1.10504,0.00106043,0.000353478,0.00106043,0.000353478,0.00106043,0.000353478,0.00106043,0.000353478
15,12213.1,1.16008,1.14493,1.07782,0.67487,0.54868,0.568,0.36468,1.21947,1.23744,1.10399,0.00103216,0.000344053,0.00103216,0.000344053,0.00103216,0.000344053,0.00103216,0.000344053
16,13018.7,1.19764,1.15199,1.08882,0.68532,0.54955,0.57686,0.37017,1.2005,1.20917,1.09688,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628
17,13824,1.16543,1.11365,1.07749,0.64576,0.57588,0.59024,0.37491,1.19676,1.18516,1.09408,0.00097561,0.000325203,0.00097561,0.000325203,0.00097561,0.000325203,0.00097561,0.000325203
18,14651.3,1.15432,1.11532,1.08174,0.67291,0.58829,0.60345,0.3837,1.19439,1.15632,1.09021,0.000947335,0.000315778,0.000947335,0.000315778,0.000947335,0.000315778,0.000947335,0.000315778
19,15457.2,1.14004,1.06634,1.06186,0.67264,0.60607,0.61589,0.39008,1.18882,1.13569,1.08727,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354
20,16251.3,1.15107,1.07066,1.06008,0.67746,0.6095,0.62028,0.39344,1.1812,1.11883,1.08598,0.000890786,0.000296929,0.000890786,0.000296929,0.000890786,0.000296929,0.000890786,0.000296929
21,17050,1.13208,1.04829,1.05472,0.68334,0.6105,0.62903,0.39946,1.17864,1.11321,1.08255,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504
22,17835.2,1.12418,1.025,1.04857,0.75666,0.59441,0.63931,0.40343,1.17651,1.10548,1.08181,0.000834238,0.000278079,0.000834238,0.000278079,0.000834238,0.000278079,0.000834238,0.000278079
23,18619.4,1.12045,1.00654,1.04184,0.75767,0.60606,0.64265,0.40559,1.16411,1.08064,1.07691,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654
24,19397.4,1.12386,1.02154,1.04959,0.71592,0.62125,0.64644,0.40669,1.16638,1.07827,1.07565,0.000777689,0.00025923,0.000777689,0.00025923,0.000777689,0.00025923,0.000777689,0.00025923
25,20244.9,1.11496,0.99543,1.04447,0.71974,0.62239,0.64954,0.40988,1.16355,1.0626,1.07222,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805
